# bottom_clearance_mean xplace_mean yplace_mean impeller/height_ratio_mean impeller/diameter_ratio_mean impeller/0/place_rel_mean impeller/0/xlen_rel_mean impeller/0/ylen_rel_mean impeller/0/joint_place_mean impeller/0/joint_angle_mean impeller/0/lean_place_mean impeller/0/lean_angle_mean impeller/0/turn_place_mean impeller/0/turn_angle_mean impeller/0/twist_mean impeller/0/helix_mean impeller/0/curl_mean impeller/0/around_number_mean impeller/0/repeat_number_mean impeller/0/repeat_heights_equal_mean impeller/0/repeat_angles_bias_mean impeller/fidgetsurface/0/alpha1_mean impeller/fidgetsurface/0/beta1_mean bottom_clearance_std xplace_std yplace_std impeller/height_ratio_std impeller/diameter_ratio_std impeller/0/place_rel_std impeller/0/xlen_rel_std impeller/0/ylen_rel_std impeller/0/joint_place_std impeller/0/joint_angle_std impeller/0/lean_place_std impeller/0/lean_angle_std impeller/0/turn_place_std impeller/0/turn_angle_std impeller/0/twist_std impeller/0/helix_std impeller/0/curl_std impeller/0/around_number_std impeller/0/repeat_number_std impeller/0/repeat_heights_equal_std impeller/0/repeat_angles_bias_std impeller/fidgetsurface/0/alpha1_std impeller/fidgetsurface/0/beta1_std overall_std
6.414171413783747999e-01 4.921383634504567645e-02 3.659504295345097913e-02 5.760935311829898930e-01 7.557653374162595084e-01 6.277349187364338334e-01 9.949191517754253367e-01 3.455093217844202869e-01 8.104191629714005973e-01 4.214883095829742743e+00 3.171863285189484571e-01 1.133303873615747221e+02 3.434460595337658351e-01 3.731264618741784034e+01 7.181375197883936323e+01 1.558111178276562327e+02 2.884614812895549107e+01 4.042632406612769458e+00 1.137427641368802034e+00 7.690797396305705247e-01 9.192746533446168655e+01 1.946965430769629357e+00 3.170588573295421431e-02 2.643342127547744225e-01 5.161567117679261019e-01 5.038173806077662631e-01 2.627312440776123359e-01 2.566004963298639807e-01 3.333333333333333703e-01 3.182520637437054600e-01 3.271888760491895032e-01 3.333333333333333148e-01 1.148419762207739296e+02 3.269870111775283750e-01 1.184062240304588727e+02 3.333333333333333703e-01 1.166117530530248274e+02 1.165703455518478648e+02 1.166634066150569993e+02 1.635586941418108040e+02 5.121524554150588493e+00 2.537360435388271274e+00 1.300649459993155510e+00 5.842863655914894139e+01 2.666666666666667407e+00 1.652294172456755694e+00 1.104738342276233576e+00
6.673137209747608267e-01 7.174234302483988197e-03 4.709450647549903723e-02 5.123061259188838035e-01 7.830824662110769108e-01 4.993547676312504180e-01 8.967034506655675585e-01 3.207328406332543569e-01 9.196840016997349654e-01 5.291075358411944052e+01 2.886216797584102434e-01 1.503200214525424201e+02 4.147148709668332933e-01 6.697360520418253316e+01 9.332291898093615146e+01 1.740464062927270561e+02 9.727667905548671001e+01 5.733626930010497169e+00 1.673340853700860498e+00 2.840767240624869627e-01 1.220642710956402368e+02 2.976203812894011591e+00 2.004001927995328058e-01 2.666666666666666630e-01 5.333333333333333259e-01 5.272042203257922832e-01 2.666666666666666630e-01 2.666666666666666630e-01 3.333333333333332593e-01 3.333333333333332593e-01 3.333333333333333148e-01 3.333333333333332593e-01 1.199999999999999858e+02 3.333333333333332593e-01 1.199999999999999858e+02 3.333333333333333148e-01 1.200000000000000284e+02 1.199999999999999716e+02 1.199999999999999858e+02 1.666666666666666288e+02 5.333333333333333037e+00 2.660793839405198646e+00 1.333333333333333037e+00 5.999999999999998579e+01 2.666666666666666075e+00 1.666666666666666519e+00 1.172952791090155156e+00
6.551593707070201278e-01 -1.596451538355456862e-02 -1.519221969823492391e-01 5.428601126550899325e-01 7.748292580834875709e-01 4.279077539043692480e-01 9.054387947746583842e-01 1.920951151352913999e-01 9.863476017574863697e-01 4.650419400864634412e+01 2.355429983120542470e-01 1.129108176622378750e+02 4.425812863441538347e-01 8.329420925063013215e+01 1.408120165620189539e+02 1.624516026387802583e+02 9.390527236482952844e+01 4.929829408952317138e+00 1.066860114870973542e+00 3.972455908433172877e-05 1.291247529410387358e+02 3.433963339044476815e+00 1.368505776340112057e-01 2.666666666666666075e-01 5.333333333333333259e-01 5.333333333333333259e-01 2.666666666666667185e-01 2.666666666666667185e-01 3.333333333333333148e-01 3.333333333333333703e-01 3.333333333333333703e-01 3.333333333333333703e-01 1.199999999999999716e+02 3.333333333333333148e-01 1.199999999999999858e+02 3.333333333333333148e-01 1.199999999999999858e+02 1.199999999999999716e+02 1.199999999999999858e+02 1.666666666666666572e+02 5.333333333333332149e+00 2.666666666666666519e+00 1.333333333333333259e+00 5.999999999999999289e+01 2.666666666666666075e+00 1.666666666666666297e+00 1.220568766885331335e+00
7.047757142205814951e-01 2.188765146098100856e-01 -6.956085691521993186e-02 5.498096054043658532e-01 7.302784253682260696e-01 4.236413441468434016e-01 9.332260819775527461e-01 2.140815257032770702e-01 9.192230703887185328e-01 7.785764496601727203e+00 1.646779549509483631e-01 7.357982042829061697e+01 4.123770476661773876e-01 4.508082977430542826e+01 1.198089285832032687e+02 1.624473683201644860e+02 6.074475945771261820e+01 5.241548463375045763e+00 1.118456938738367157e+00 4.097534903555711053e-03 1.167842492591540662e+02 3.334127955033772572e+00 2.575151432107466443e-01 2.426469812058690834e-01 4.906198255653210216e-01 4.851719535734444477e-01 2.420963353148530006e-01 2.417676576037656178e-01 3.101317774979506225e-01 3.082812528840846444e-01 3.061404142819721397e-01 3.079927923095612252e-01 1.088314553441198029e+02 3.037396202638492082e-01 1.111078840284639710e+02 3.036980262725213486e-01 1.103423408816726976e+02 1.102850661512019173e+02 1.079196428659748221e+02 1.536538763714146683e+02 4.888459194873011171e+00 2.407906112018890710e+00 1.227310824505670084e+00 5.636219312532664105e+01 2.432282869697981909e+00 1.546466396857684611e+00 1.121123481764641605e+00
6.490300979759623390e-01 2.897212329744700554e-01 2.083149974016976561e-02 6.377525281759214293e-01 7.941269193440052554e-01 4.511469874127007618e-01 9.248881035277544127e-01 2.029605931190698875e-01 9.005027589377679886e-01 3.276572407614523286e+01 1.385241820680316871e-01 6.891104901674921734e+01 2.959865192187411398e-01 2.186525598074340948e+01 1.050006915054086392e+02 1.699460667788699482e+02 2.161143811410995777e-02 2.630695564439258227e+00 6.665108508041843738e-01 1.372283271214271277e-03 1.176162121806692937e+02 1.809967267960147952e+00 4.791875351182989240e-01 2.329847799114044271e-01 4.714134835140848523e-01 4.594096963069174144e-01 2.312691172634776526e-01 2.324221549222466321e-01 2.976568702328559746e-01 2.896719749120306164e-01 2.904520169441697219e-01 2.931257529646652538e-01 1.037139027834135732e+02 2.896705712474896277e-01 1.056117087666413283e+02 2.906850729057054994e-01 1.050225666951426575e+02 1.064595211863710347e+02 1.031807894735698312e+02 1.463665335695643819e+02 4.748210038513920317e+00 2.299990851355496968e+00 1.166923166814124668e+00 5.345531421780023607e+01 2.330607468096329349e+00 1.463578547630753013e+00 1.075384822984603472e+00
6.512853447337327850e-01 2.708483895502369343e-01 1.850629106873408897e-02 7.643617850389214929e-01 7.428085667545532012e-01 3.701488246385002956e-01 9.838833454304002357e-01 3.554431192678857987e-01 8.391258560135667066e-01 3.095687827460622188e+01 1.412414018252675652e-01 1.304455628028901231e+02 3.283537888610940092e-01 -1.896565806527544851e+01 5.320926926844025218e+01 1.564641450125886593e+02 4.309822191425308979e+00 3.435097898967161001e+00 6.679064718531042555e-01 4.949547233235532251e-01 1.348553584849700258e+02 2.514585634127749270e+00 4.691064790338507762e-01 2.325222716631485664e-01 4.712987757577478121e-01 4.537372639983627276e-01 2.306593611265520261e-01 2.278553940543346645e-01 3.013232179622991058e-01 2.861935450606789000e-01 2.906335518488594727e-01 2.892466649297011361e-01 1.021457824912802721e+02 2.850556002570715508e-01 1.053046949009424225e+02 2.905841270035067203e-01 1.056144223260889419e+02 1.059118544236477248e+02 1.027857488301376350e+02 1.447841312675261065e+02 4.674191786507101654e+00 2.250019891150580431e+00 1.160612247302600153e+00 5.462394883738433293e+01 2.349817544630797173e+00 1.450246183780722120e+00 1.070660498220735057e+00
6.284203105253497457e-01 1.024148738352728127e-01 9.028091710212167095e-03 7.987238648101364635e-01 7.719866253137391832e-01 3.606511345238209154e-01 9.940902664093260732e-01 4.492876473209946875e-01 8.050470090362268349e-01 6.994290804054716482e+00 1.566085838077453385e-01 1.532385838687365549e+02 2.001979394740010521e-01 4.906293568665013538e+00 8.334647810745025864e-02 1.389293074485514126e+02 8.619608904902341662e-01 3.640934890767002940e+00 6.649730327876146596e-01 5.697323517629804268e-01 1.220076129147144997e+02 3.523460303485293377e+00 6.768513020176480932e-01 2.351615735710641530e-01 4.740447254513738828e-01 4.529908593030707586e-01 2.340343842593820001e-01 2.284978323336148698e-01 3.068664210434328687e-01 2.946254867786860521e-01 2.985856997421738601e-01 2.930417570141121142e-01 1.027682852438103822e+02 2.887947197580062464e-01 1.059915592243847584e+02 2.977343023059743077e-01 1.067342527085562267e+02 1.077720910194705937e+02 1.045392990098226846e+02 1.432905164443554042e+02 4.761724338661781353e+00 2.233104771575930236e+00 1.185954804073276581e+00 5.570703801897684571e+01 2.386364216462650845e+00 1.468385357477042463e+00 1.086267534338293261e+00
6.100953562443767186e-01 -1.113521079841089806e-01 -1.289691024393319896e-01 7.845082736697681636e-01 7.705945489182438601e-01 3.440688601705519378e-01 9.978850997105086496e-01 4.231151373792027548e-01 8.620555277074507528e-01 1.311088303347119144e+01 9.036597763909241798e-02 1.193389431244492869e+02 2.162255213485114180e-01 5.915346382370387346e+00 2.305790212095645941e+01 1.356921548301801863e+02 7.190982089225050800e+01 4.905120366871440041e+00 5.157329016733832594e-01 6.000339029434753613e-01 1.451982328531317137e+02 3.449776220629782397e+00 4.356885156251506103e-02 2.253015730939661176e-01 4.487571240477716827e-01 4.417407696378053972e-01 2.230202142627339679e-01 2.137578586712703954e-01 2.958084268382342175e-01 2.788882619498244120e-01 2.855677209188708932e-01 2.783406715993886338e-01 9.797690650417193581e+01 2.736285188809626789e-01 1.004827494020552905e+02 2.785943024811722846e-01 1.016961177384509369e+02 1.041029585012518623e+02 9.968298976525335320e+01 1.400058402506125503e+02 4.597295147984257646e+00 2.096362017220934959e+00 1.136014498459858357e+00 5.477152934601932799e+01 2.250555702370193867e+00 1.401704179391334293e+00 1.037422250331776263e+00
6.174150795290961335e-01 -2.166609321598063354e-02 -6.172209440509301287e-02 7.972657399700934233e-01 7.815107678861046292e-01 2.055249655786577090e-01 9.369214454700049988e-01 3.788149299683856164e-01 9.601359071997924710e-01 4.899520019242976332e+01 5.894030177175377944e-02 1.041707968766991144e+02 2.537678218748307679e-01 2.933133230175999984e+01 1.645599597213992027e+01 1.660288956798862330e+02 3.294068458434898616e+01 4.197943851558962436e+00 5.055212682011136494e-01 6.580746360382733195e-01 1.375944393662181824e+02 3.493676552904994459e+00 5.740420743541277404e-02 2.071922861720548181e-01 4.098581759807092273e-01 4.004304311241228542e-01 2.060178075156558486e-01 1.933232729869647226e-01 2.807881437981091799e-01 2.570805606732783355e-01 2.617254815644236010e-01 2.548117182648431678e-01 8.997745161388583313e+01 2.516541145435959304e-01 9.401289194428034079e+01 2.557433232879382512e-01 9.313794286559341629e+01 9.557881984160663080e+01 9.127995972568959360e+01 1.306626267152072387e+02 4.197850870156315750e+00 1.931195627214593147e+00 1.049636932941816259e+00 5.044352773664910217e+01 2.062792089367156745e+00 1.284569444834828378e+00 9.564838418387713315e-01
5.259277946355646050e-01 -4.937313758328511909e-02 -1.230126839803976219e-01 7.978563251647768917e-01 7.812877199550064544e-01 1.682945569578740419e-01 9.175893407359716480e-01 3.608000518860440264e-01 9.721852201372807034e-01 6.415624842407000017e+01 1.080936880007555417e-01 1.009893059026138644e+02 2.025134567174637912e-01 2.577303129204658916e+01 3.236896584966241885e+00 1.666033690523377118e+02 1.418793555404780982e+01 5.411306931230864592e+00 1.106237327590523067e+00 8.966597750522510291e-01 1.318619136598917407e+02 3.925639395376161911e+00 3.595709109649113111e-02 1.973921324222861207e-01 3.831334207659059521e-01 3.756694333683339715e-01 1.915300514827205092e-01 1.822955681660637373e-01 2.703036589168100190e-01 2.442686922746978295e-01 2.455408375270167198e-01 2.421547202127984633e-01 8.534367221977812790e+01 2.380584616235427442e-01 8.905747747466787700e+01 2.440004937728301737e-01 8.899184229502738219e+01 9.160625799955948878e+01 8.634433546819425942e+01 1.252109878120288613e+02 4.005811031432758185e+00 1.812759846017176990e+00 9.999943797156088943e-01 4.826046910133314327e+01 1.983414479861099755e+00 1.232803606255229667e+00 9.104524503523708789e-01
