# bottom_clearance_mean xplace_mean yplace_mean impeller/height_ratio_mean impeller/diameter_ratio_mean impeller/0/place_rel_mean impeller/0/xlen_rel_mean impeller/0/ylen_rel_mean impeller/0/joint_place_mean impeller/0/joint_angle_mean impeller/0/lean_place_mean impeller/0/lean_angle_mean impeller/0/turn_place_mean impeller/0/turn_angle_mean impeller/0/twist_mean impeller/0/helix_mean impeller/0/curl_mean impeller/0/around_number_mean impeller/0/repeat_number_mean impeller/0/repeat_heights_equal_mean impeller/0/repeat_angles_bias_mean impeller/fidgetsurface/0/alpha1_mean impeller/fidgetsurface/0/beta1_mean bottom_clearance_std xplace_std yplace_std impeller/height_ratio_std impeller/diameter_ratio_std impeller/0/place_rel_std impeller/0/xlen_rel_std impeller/0/ylen_rel_std impeller/0/joint_place_std impeller/0/joint_angle_std impeller/0/lean_place_std impeller/0/lean_angle_std impeller/0/turn_place_std impeller/0/turn_angle_std impeller/0/twist_std impeller/0/helix_std impeller/0/curl_std impeller/0/around_number_std impeller/0/repeat_number_std impeller/0/repeat_heights_equal_std impeller/0/repeat_angles_bias_std impeller/fidgetsurface/0/alpha1_std impeller/fidgetsurface/0/beta1_std overall_std
2.004428566807420875e+00 7.689661928913385514e-02 5.717975461476713928e-02 1.800292284946843235e+00 2.361766679425810533e+00 1.569337296841084584e+00 2.487297879438563175e+00 8.637733044610506061e-01 2.026047907428501382e+00 2.927002149881766102e-02 7.929658212973711429e-01 7.870165788998244594e-01 8.586151488344145877e-01 2.591155985237350023e-01 4.987066109641622447e-01 1.082021651580945987e+00 1.442307406447774498e-01 6.316613135332451723e-01 3.554461379277506494e-01 4.806748372691065363e-01 1.276770351867523523e+00 6.084266971155091186e-01 1.585294286647710715e-02 8.260444148586698621e-01 8.064948621373844162e-01 7.872146571996345710e-01 8.210351377425383346e-01 8.018765510308247801e-01 8.333333333333333703e-01 7.956301593592636223e-01 8.179721901229737302e-01 8.333333333333332593e-01 7.975137237553745484e-01 8.174675279438208264e-01 8.222654446559644059e-01 8.333333333333333703e-01 8.098038406460057459e-01 8.095162885544990861e-01 8.101625459378958283e-01 8.177934707090539490e-01 8.002382115860293688e-01 7.929251360588347453e-01 8.129059124957220828e-01 8.115088410992908896e-01 8.333333333333334814e-01 8.261470862283778471e-01 1.104738342276233576e+00
2.085355378046127139e+00 1.120974109763122999e-02 7.358516636796723354e-02 1.600956643496511456e+00 2.447132706909614708e+00 1.248386919078126045e+00 2.241758626663918896e+00 8.018321015831358922e-01 2.299210004249337302e+00 3.674357887786072197e-01 7.215541993960256084e-01 1.043889037864877967e+00 1.036787177417083150e+00 4.650944805846009000e-01 6.480758262565010641e-01 1.208655599255048951e+00 4.863833952774335168e-01 8.958792078141400994e-01 5.229190167815188639e-01 1.775479525390543378e-01 1.695337098550558919e+00 9.300636915293786222e-01 1.002000963997664029e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.237565942590502344e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333334814e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.314980748141245215e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 1.172952791090155156e+00
2.047373033459437330e+00 -2.494455528680400783e-02 -2.373784327849206288e-01 1.696437852047155692e+00 2.421341431510898090e+00 1.069769384760923092e+00 2.263596986936645905e+00 4.802377878382284582e-01 2.465869004393715702e+00 3.229457917267107292e-01 5.888574957801355758e-01 7.841029004322074281e-01 1.106453215860384587e+00 5.784320086849314979e-01 9.778612261251315996e-01 1.128136129435973967e+00 4.695263618241476422e-01 7.702858451487994973e-01 3.333937858971792179e-01 2.482784942770732879e-05 1.793399346403315775e+00 1.073113543451398977e+00 6.842528881700560284e-02 8.333333333333330373e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333331483e-01 1.220568766885331335e+00
2.202424106939316673e+00 3.419945540778281945e-01 -1.086888389300311314e-01 1.718155016888643027e+00 2.282120079275705926e+00 1.059103360367108504e+00 2.333065204943881810e+00 5.352038142581926339e-01 2.298057675971796332e+00 5.406780900417865882e-02 4.116948873773708661e-01 5.109709751964626179e-01 1.030942619165443386e+00 3.130613178771210481e-01 8.320064484944671435e-01 1.128106724445586684e+00 3.037237972885630799e-01 8.189919474023508172e-01 3.495177933557397365e-01 2.560959314722319191e-03 1.622003461932695290e+00 1.041914985948053873e+00 1.287575716053733221e-01 7.582718162683407259e-01 7.665934774458139644e-01 7.580811774585067830e-01 7.565510478589154708e-01 7.555239300117674306e-01 7.753294437448765564e-01 7.707031322102115833e-01 7.653510357049303492e-01 7.699819807739030075e-01 7.557739954452764586e-01 7.593490506596229928e-01 7.715825279754442434e-01 7.592450656813033438e-01 7.662662561227270297e-01 7.658685149389021785e-01 7.494419643470473513e-01 7.682693818570733857e-01 7.638217491989078844e-01 7.524706600059033468e-01 7.670692653160438024e-01 7.828082378517589035e-01 7.600883967806192354e-01 7.732331984288423055e-01 1.121123481764641605e+00
2.028219056174882073e+00 4.526894265226093506e-01 3.254921834401525160e-02 1.992976650549754147e+00 2.481646622950016035e+00 1.127867468531751793e+00 2.312220258819385865e+00 5.074014827976747188e-01 2.251256897344419805e+00 2.275397505287863609e-01 3.463104551700791900e-01 4.785489515052029352e-01 7.399662980468527662e-01 1.518420554218292418e-01 7.291714687875600065e-01 1.180181019297708023e+00 1.080571905705497910e-04 4.110461819436340702e-01 2.082846408763076029e-01 8.576770445089194938e-04 1.633558502509295796e+00 5.656147712375462211e-01 2.395937675591494620e-01 7.280774372231386682e-01 7.365835679907574152e-01 7.178276504795583213e-01 7.227159914483675118e-01 7.263192341320205969e-01 7.441421755821399087e-01 7.241799372800764578e-01 7.261300423604242216e-01 7.328143824116630789e-01 7.202354359959275421e-01 7.241764281187240693e-01 7.334146442127870147e-01 7.267126822642637762e-01 7.293233798273796031e-01 7.393022304609099260e-01 7.165332602331238032e-01 7.318326678478219716e-01 7.419078185178000773e-01 7.187471410485928303e-01 7.293269792588278344e-01 7.424349196916699700e-01 7.283148337801028660e-01 7.317892738153765064e-01 1.075384822984603472e+00
2.035266702292914509e+00 4.232006086722451266e-01 2.891607979489701011e-02 2.388630578246629277e+00 2.321276771107978476e+00 9.253720615962506280e-01 2.459708363576000423e+00 8.886077981697144690e-01 2.097814640033916600e+00 2.149783213514321056e-01 3.531035045631689129e-01 9.058719639089591880e-01 8.208844721527349675e-01 -1.317059587866350467e-01 3.695088143641684364e-01 1.086556562587421171e+00 2.154911095712654448e-02 5.367340467136189064e-01 2.087207724540950660e-01 3.093467020772207587e-01 1.872991090069028308e+00 7.858080106649215635e-01 2.345532395169253881e-01 7.266320989473391556e-01 7.364043371214807898e-01 7.089644749974416404e-01 7.208105035204749322e-01 7.120481064197956567e-01 7.533080449057476535e-01 7.154838626516971667e-01 7.265838796221486540e-01 7.231166623242528679e-01 7.093457117450019389e-01 7.126390006426788215e-01 7.312826034787668350e-01 7.264603175087668285e-01 7.334334883756176149e-01 7.354989890531091756e-01 7.137899224315114033e-01 7.239206563376304748e-01 7.303424666417346334e-01 7.031312159845564125e-01 7.253826545641250956e-01 7.586659560747823772e-01 7.343179826971241164e-01 7.251230918903610601e-01 1.070660498220735057e+00
1.963813470391717608e+00 1.600232403676137283e-01 1.410639329720650773e-02 2.496012077531676088e+00 2.412458204105434323e+00 9.016278363095522330e-01 2.485225666023314961e+00 1.123219118302486663e+00 2.012617522590566921e+00 4.857146391704664223e-02 3.915214595193633462e-01 1.064156832421781607e+00 5.004948486850026024e-01 3.407148311572925914e-02 5.787949868572934628e-04 9.647868572816070687e-01 4.309804452451170692e-03 5.688960766823442095e-01 2.078040727461295534e-01 3.560827198518627390e-01 1.694550179371034693e+00 1.101081344839154097e+00 3.384256510088240466e-01 7.348799174095753672e-01 7.406948835177715740e-01 7.077982176610478904e-01 7.313574508105685767e-01 7.140557260425463015e-01 7.671660526085821719e-01 7.365637169467150747e-01 7.464642493554346503e-01 7.326043925352802022e-01 7.136686475264609753e-01 7.219867993950156437e-01 7.360524946137830815e-01 7.443357557649357137e-01 7.412100882538626978e-01 7.484172987463235671e-01 7.259673542348797914e-01 7.164525822217769901e-01 7.440194279159033641e-01 6.978452411174781433e-01 7.412217525457978073e-01 7.737088613746784249e-01 7.457388176445783889e-01 7.341926787385212316e-01 1.086267534338293261e+00
1.906547988263676885e+00 -1.739876687251702414e-01 -2.015142225614561799e-01 2.451588355218024873e+00 2.408107965369511660e+00 8.601721504263797335e-01 2.494712749276271513e+00 1.057787843448006804e+00 2.155138819268626715e+00 9.104779884354993746e-02 2.259149440977310241e-01 8.287426605864534057e-01 5.405638033712785173e-01 4.107879432201658187e-02 1.601243202844198632e-01 9.423066307651400964e-01 3.595491044612525444e-01 7.664250573236623953e-01 1.611665317729322477e-01 3.750211893396721008e-01 2.016642122960162542e+00 1.078055068946806916e+00 2.178442578125753051e-02 7.040674159186439685e-01 7.011830063246431433e-01 6.902199525590707596e-01 6.969381695710434865e-01 6.679933083477198608e-01 7.395210670955855159e-01 6.972206548745609744e-01 7.139193022971772606e-01 6.958516789984715567e-01 6.803951840567495912e-01 6.840712972024066696e-01 6.977968708476062210e-01 6.964857562029307392e-01 7.062230398503537288e-01 7.229372118142490811e-01 6.922429844809260269e-01 7.000292012530627828e-01 7.183273668725402850e-01 6.551131303815421747e-01 7.100090615374113900e-01 7.607156853613795677e-01 7.032986569906855001e-01 7.008520896956671464e-01 1.037422250331776263e+00
1.929422123528425015e+00 -3.385327064996973556e-02 -9.644077250795780876e-02 2.491455437406541407e+00 2.442221149644076661e+00 5.138124139466442308e-01 2.342303613675012386e+00 9.470373249209639299e-01 2.400339767999481122e+00 3.402444457807622391e-01 1.473507544293844451e-01 7.234083116437438621e-01 6.344195546870768920e-01 2.036898076511111100e-01 1.142777498065272318e-01 1.152978442221432198e+00 1.647034229217449186e-01 6.559287268060878251e-01 1.579753963128480154e-01 4.112966475239208108e-01 1.911033880086363546e+00 1.091773922782810713e+00 2.870210371770638702e-02 6.474758942876711609e-01 6.404033999698580670e-01 6.256725486314418383e-01 6.438056484864244089e-01 6.041352280842646749e-01 7.019703594952729775e-01 6.427014016831957832e-01 6.543137039110590303e-01 6.370292956621078639e-01 6.248434139853182856e-01 6.291352863589898536e-01 6.528673051686134654e-01 6.393583082198456280e-01 6.467912698999542798e-01 6.637418044556016028e-01 6.338886092061777333e-01 6.533131335760361535e-01 6.559141984619243360e-01 6.034986335045603445e-01 6.560230830886351061e-01 7.006045518979041598e-01 6.446225279272365105e-01 6.422847224174141889e-01 9.564838418387713315e-01
1.643524358236138960e+00 -7.714552747388297993e-02 -1.922073187193712451e-01 2.493301016139927384e+00 2.441524124859394629e+00 4.207363923946850770e-01 2.293973351839929009e+00 9.020001297151100106e-01 2.430463050343201648e+00 4.455295029449305444e-01 2.702342200018888474e-01 7.013146243237073918e-01 5.062836417936594779e-01 1.789793839725457580e-01 2.247844850671001232e-02 1.156967840641234035e+00 7.093967777023904575e-02 8.455167080048225925e-01 3.456991648720384447e-01 5.604123594076568793e-01 1.831415467498496596e+00 1.226762311055050514e+00 1.797854554824556556e-02 6.168504138196440056e-01 5.986459699467279183e-01 5.869834896380217160e-01 5.985314108835014801e-01 5.696736505189490263e-01 6.757591472920250197e-01 6.106717306867445183e-01 6.138520938175417996e-01 6.053868005319961165e-01 5.926643904151258635e-01 5.951461540588568466e-01 6.184547046851935903e-01 6.100012344320754343e-01 6.179989048265790430e-01 6.361545694413853758e-01 5.996134407513490361e-01 6.260549390601443109e-01 6.259079736613684108e-01 5.664874518803677539e-01 6.249964873222555450e-01 6.702842930740714467e-01 6.198170249565936318e-01 6.164018031276148335e-01 9.104524503523708789e-01
