# baffles/0/place_rel_mean baffles/0/xlen_rel_mean baffles/0/ylen_rel_mean baffles/0/around_number_mean baffles/0/joint_place_mean baffles/0/joint_angle_mean baffles/0/lean_place_mean baffles/0/lean_angle_mean baffles/0/turn_place_mean baffles/0/turn_angle_mean baffles/0/twist_mean baffles/0/helix_mean baffles/0/curl_mean baffles/0/curl_bump_mean baffles/fidgetsurface/0/alpha1_mean baffles/fidgetsurface/0/beta1_mean baffles/0/place_rel_std baffles/0/xlen_rel_std baffles/0/ylen_rel_std baffles/0/around_number_std baffles/0/joint_place_std baffles/0/joint_angle_std baffles/0/lean_place_std baffles/0/lean_angle_std baffles/0/turn_place_std baffles/0/turn_angle_std baffles/0/twist_std baffles/0/helix_std baffles/0/curl_std baffles/0/curl_bump_std baffles/fidgetsurface/0/alpha1_std baffles/fidgetsurface/0/beta1_std overall_std
7.958372117069405505e-01 2.477148576233442479e-01 1.937875337015498023e-01 1.699805898162098039e+00 4.063000983766463792e-01 6.281344477762389467e+00 4.746505938956254167e-01 -5.132094442131021594e+01 6.123126264279951103e-01 -8.936683755300754228e+01 2.587534546839012606e+01 1.922177341165362350e+02 2.066862264087184542e+02 2.423240694513717486e-01 2.628328953019151815e+00 1.790973553386848494e+00 1.396211437864325611e-01 2.544640978113793528e-01 2.616614284992230255e-01 2.405383651627413411e+00 2.932788513890602911e-01 1.133105421377259745e+02 3.046463728131821314e-01 5.269537587209939034e+01 3.100475948749419342e-01 5.294553819771122249e+01 1.130465581884992332e+02 1.099733230067763117e+02 1.541069887967892669e+02 6.169626716114784415e-01 2.320315646081339001e+00 1.549158022378192001e+00 1.125891170767685523e+00
8.187153052548691301e-01 2.218207899554503759e-01 1.669865023713377750e-01 1.843818662789451723e+00 3.237731710099266969e-01 -1.968778658087465772e+01 3.997111497510660860e-01 -4.635188586468418492e+01 6.827486106730064064e-01 -7.746511358951021009e+01 4.980887988071964401e+01 1.893499693922979077e+02 2.061800818500048820e+02 4.916239929717636237e-02 2.827660159276010887e+00 2.068455745224084374e+00 1.309217769055266711e-01 2.415963141172722817e-01 2.464061510467246974e-01 2.259363033157994138e+00 2.743111761139309102e-01 1.090078589940181928e+02 2.916049019144234533e-01 4.984514259688145899e+01 3.001333967316086038e-01 5.168414270355487616e+01 1.061819214976234491e+02 1.030672523834800387e+02 1.481007947898062298e+02 5.958909021412399643e-01 2.269874155999456189e+00 1.487725214024599341e+00 1.077181609579496158e+00
8.419518826042221571e-01 1.945246099484993219e-01 1.110191958861570377e-01 1.074246163504897877e+00 4.939267660020960626e-01 -9.139029345544638971e+00 3.739019785742927482e-01 -5.969001236793089049e+01 5.897886788474558939e-01 -7.434553477127242616e+01 3.102775072031921511e+01 1.116040044227944463e+02 2.013329572554282265e+02 1.674414280201717564e-01 2.324714900316532606e+00 1.876063593388632045e+00 1.342882158491631173e-01 2.411389118682778498e-01 2.473776007448540981e-01 2.500389816732893511e+00 2.861988727993215464e-01 1.110756970087267490e+02 2.971492553681996940e-01 5.114916387091950156e+01 3.072521599841294693e-01 5.270615860592350543e+01 1.122379562146644219e+02 1.093440468404008499e+02 1.486928762548556904e+02 6.066129637242447803e-01 2.411154498545455382e+00 1.524977348789003040e+00 1.104539913544688945e+00
8.329604248072876027e-01 2.125581193769216781e-01 1.437738433109213843e-01 7.929409283973195555e-01 3.866727578325988568e-01 -5.014640645024712740e+01 1.548487642463531877e-01 -6.414732263151353209e+01 6.311029171580808672e-01 -6.721974964138254904e+01 9.988123813463239742e+00 1.300963020539385866e+02 2.204729064872201718e+02 6.649910935580304050e-02 2.054871717481229876e+00 2.028791636954602851e+00 1.301084739567523740e-01 2.385993459110380688e-01 2.445983093031317557e-01 2.553058082561025621e+00 2.842177480388431987e-01 1.148442180812619711e+02 3.204941800991301104e-01 5.230410244934802222e+01 3.151196803021839021e-01 5.264663391771549072e+01 1.117470381638367058e+02 1.114289724782772737e+02 1.449952829981515663e+02 6.071731315021211550e-01 2.390782850233170720e+00 1.562684433532313344e+00 1.109752543312971573e+00
8.108298676926113391e-01 1.892274562074731659e-01 2.365662427150016234e-01 6.496236984561354344e-01 4.367556488267992920e-01 -5.961081104070355252e+01 2.243505760177159081e-01 -7.019095411111905491e+01 6.817437148916981604e-01 -7.729010577875284582e+01 4.322837494966664806e+00 1.447165120292113727e+02 2.390045269102064367e+02 1.011494899795174485e-01 3.033425910446130302e+00 1.464576701014770999e+00 1.203940075010476313e-01 2.233900571611174835e-01 2.350672686230904362e-01 2.379158549459546190e+00 2.703945969463480981e-01 1.073772462191032560e+02 3.005797124624809968e-01 5.026379009110045359e+01 2.969298306734401982e-01 4.982681976071866359e+01 1.083004279366907383e+02 1.065264044099031651e+02 1.367974287935294058e+02 5.763050805197986737e-01 2.260816333110560628e+00 1.480848089463470352e+00 1.053498588838388095e+00
8.625380226880130508e-01 1.550345313897671384e-01 1.674834516518887984e-01 5.109833586064651545e-01 4.236851926482556596e-01 -8.467974877323632654e+01 2.385734733293680687e-01 -6.899408284475931907e+01 5.916788794231976345e-01 -5.816424607301440375e+01 3.155328081747302349e+01 1.326894785454853434e+02 1.734875551424222806e+02 2.220763307174898338e-01 2.795044678742817812e+00 1.398145414937097986e+00 1.135455235882169567e-01 2.025433849618608617e-01 2.225874987641573433e-01 2.198401958227560460e+00 2.482406754053780584e-01 9.913706311005969951e+01 2.839211479746423517e-01 4.586294855461409981e+01 2.764184189740309106e-01 4.700584651820391713e+01 1.021741099745977266e+02 1.006794544292878015e+02 1.321744206675020052e+02 5.282910071281063935e-01 2.104193074278403408e+00 1.382855649341403037e+00 9.849337114472299648e-01
8.616791916485010416e-01 1.469364732537332685e-01 2.454902567406392899e-01 5.670212879996507915e-01 3.465229240786270037e-01 -8.761930746005221238e+01 2.160151521456915857e-01 -7.680980248059991311e+01 6.463634830963878031e-01 -6.993322713314880446e+01 9.385494747179485842e+00 1.544367965869459454e+02 1.738512866813661049e+02 1.723453880210251976e-01 3.019530226784893578e+00 1.556101855798523337e+00 1.027462802193534475e-01 1.753935624910207269e-01 2.002339435154638358e-01 1.936797075680532831e+00 2.225789491048847379e-01 8.620612714336351701e+01 2.541613350736042221e-01 3.864851289620917640e+01 2.601986752923811652e-01 4.109511445637365767e+01 9.119818494723332947e+01 8.871459078622618222e+01 1.158087519541822132e+02 4.643651091547493781e-01 1.878524010164818847e+00 1.227188065049859000e+00 8.745730717034785329e-01
8.491449607918311049e-01 1.011822310595888869e-01 2.534571898054727712e-01 5.008160742646293739e-01 3.569042724409355327e-01 -6.950573602199594347e+01 3.256894819969454596e-02 -8.247027016357711204e+01 6.860354752751131047e-01 -7.230357041416077379e+01 2.296330949504181262e+01 1.710955935959190128e+02 1.756679405831035297e+02 2.485875835002283873e-01 2.979749301892734348e+00 1.925582883998233186e+00 9.567264050292742517e-02 1.702127752268862981e-01 1.931725527441122692e-01 1.837017951813004091e+00 2.105082420046393565e-01 8.450396390811580716e+01 2.579253174411640925e-01 3.706811332178068596e+01 2.531242373419856917e-01 3.948718140245170360e+01 8.944032430906088393e+01 8.508799183157981361e+01 1.104669588705282592e+02 4.530489696881649930e-01 1.813853253403615584e+00 1.199698641103340124e+00 8.466153108406914152e-01
8.586824287677127243e-01 1.043947379547160159e-01 1.821192427544119363e-01 5.344447325875788524e-01 3.560781917154213216e-01 -7.133243042472901152e+01 3.622889658242109401e-02 -7.806749313551689795e+01 8.196695200209417331e-01 -8.289852427949750791e+01 3.444364146591372133e+01 1.893040027307149842e+02 1.646045363596040829e+02 1.089292382722650693e-01 1.799467251909783627e+00 1.883354689830075035e+00 9.106234701458458536e-02 1.641210744305245106e-01 1.913524917910092993e-01 1.753473287232788280e+00 2.011230014919691278e-01 8.158424857519051443e+01 2.435944913650660570e-01 3.526381455922006580e+01 2.443210416357932402e-01 3.721527646235720965e+01 8.672032985553144613e+01 7.976215972279807431e+01 1.093614461964332492e+02 4.434329266308936757e-01 1.796268609754610557e+00 1.192916955119030620e+00 8.193802532290781482e-01
8.591979507753724210e-01 1.789749591652062821e-01 1.953017082208833577e-01 1.049721935569283948e+00 3.007806677305702725e-01 -1.020384524738140186e+02 7.563303704358421975e-02 -6.744230763073980484e+01 9.129055195290401992e-01 -7.318496425850966602e+01 4.633808008250183263e+01 2.201398746578317969e+02 1.687864735383781465e+02 7.294895998512324065e-02 2.323256290098254961e+00 2.160434310558519755e+00 9.194194151950652039e-02 1.670424378941105237e-01 1.980110894710316871e-01 1.760986550064376432e+00 2.053002886620746148e-01 8.490055596825601469e+01 2.568982478431510730e-01 3.626743088369951806e+01 2.563262238702563867e-01 3.761660666312006640e+01 8.959951049966765879e+01 8.084058914225593639e+01 1.101081048967223381e+02 4.653216359287946080e-01 1.823657090780210543e+00 1.226879767837806279e+00 8.410662680625276000e-01
