# baffles/0/place_rel_mean baffles/0/xlen_rel_mean baffles/0/ylen_rel_mean baffles/0/around_number_mean baffles/0/joint_place_mean baffles/0/joint_angle_mean baffles/0/lean_place_mean baffles/0/lean_angle_mean baffles/0/turn_place_mean baffles/0/turn_angle_mean baffles/0/twist_mean baffles/0/helix_mean baffles/0/curl_mean baffles/0/curl_bump_mean baffles/fidgetsurface/0/alpha1_mean baffles/fidgetsurface/0/beta1_mean baffles/0/place_rel_std baffles/0/xlen_rel_std baffles/0/ylen_rel_std baffles/0/around_number_std baffles/0/joint_place_std baffles/0/joint_angle_std baffles/0/lean_place_std baffles/0/lean_angle_std baffles/0/turn_place_std baffles/0/turn_angle_std baffles/0/twist_std baffles/0/helix_std baffles/0/curl_std baffles/0/curl_bump_std baffles/fidgetsurface/0/alpha1_std baffles/fidgetsurface/0/beta1_std overall_std
3.979186058534702308e+00 6.880968267315117348e-01 5.382987047265271885e-01 5.311893431756555817e-01 1.015750245941615892e+00 4.362044776223881343e-02 1.186626484739063514e+00 -7.127908947404196782e-01 1.530781566069987720e+00 -1.241206077125104779e+00 1.796898990860425482e-01 1.334845375809279311e+00 1.033431132043592271e+00 3.029050868142146857e-01 8.213527978184849143e-01 8.954867766934242468e-01 6.981057189321627776e-01 7.068447161427203751e-01 7.268373013867305277e-01 7.516823911335666075e-01 7.331971284726507276e-01 7.868787648453192674e-01 7.616159320329553006e-01 7.318802204458249028e-01 7.751189871873547244e-01 7.353546971904336704e-01 7.850455429756890702e-01 7.637036319915021521e-01 7.705349439839462855e-01 7.712033395143479408e-01 7.250986394004184099e-01 7.745790111890960006e-01 1.125891170767685523e+00
4.093576526274345539e+00 6.161688609873621214e-01 4.638513954759382329e-01 5.761933321217036497e-01 8.094329275248166589e-01 -1.367207401449629101e-01 9.992778743776651318e-01 -6.437761925650581363e-01 1.706871526682515849e+00 -1.075904355409863955e+00 3.458949991716642192e-01 1.314930343002068902e+00 1.030900409250024463e+00 6.145299912147045296e-02 8.836437997737534022e-01 1.034227872612042187e+00 6.546088845276333279e-01 6.711008725479784554e-01 6.844615306853463199e-01 7.060509478618731682e-01 6.857779402848271921e-01 7.569990207917930425e-01 7.290122547860585778e-01 6.922936471789091772e-01 7.503334918290214262e-01 7.178353153271510578e-01 7.373744548446072855e-01 7.157448082186114169e-01 7.405039739490311135e-01 7.448636276765498998e-01 7.093356737498300868e-01 7.438626070122996703e-01 1.077181609579496158e+00
4.209759413021110674e+00 5.403461387458313725e-01 3.083866552393250693e-01 3.357019260952806006e-01 1.234816915005240157e+00 -6.346548156628221971e-02 9.347549464357317595e-01 -8.290279495545956889e-01 1.474471697118639790e+00 -1.032576871823228215e+00 2.154704911133278888e-01 7.750278084916281118e-01 1.006664786277141177e+00 2.093017850252146816e-01 7.264734063489164395e-01 9.380317966943160224e-01 6.714410792458155308e-01 6.698303107452161509e-01 6.871600020690390442e-01 7.813718177290291944e-01 7.154971819983038106e-01 7.713590070050468928e-01 7.428731384204991794e-01 7.104050537627708550e-01 7.681303999603236177e-01 7.320299806378264273e-01 7.794302514907252011e-01 7.593336586138947908e-01 7.434643812742784963e-01 7.582662046553059199e-01 7.534857807954548070e-01 7.624886743945015199e-01 1.104539913544688945e+00
4.164802124036437903e+00 5.904392204914490350e-01 3.993717869747815397e-01 2.477940401241623403e-01 9.666818945814971142e-01 -3.482389336822717119e-01 3.871219106158829137e-01 -8.909350365487991308e-01 1.577757292895201946e+00 -9.336076339080909836e-01 6.936197092682805376e-02 9.034465420412401970e-01 1.102364532436100886e+00 8.312388669475380409e-02 6.421474117128843639e-01 1.014395818477301425e+00 6.505423697837618979e-01 6.627759608639945954e-01 6.794397480642547782e-01 7.978306508003204511e-01 7.105443700971080245e-01 7.975292922309858978e-01 8.012354502478252760e-01 7.264458673520558518e-01 7.877992007554597276e-01 7.312032488571595934e-01 7.760210983599771239e-01 7.738123088769255364e-01 7.249764149907578226e-01 7.589664143776514438e-01 7.471196406978658500e-01 7.813422167661566720e-01 1.109752543312971573e+00
4.054149338463056473e+00 5.256318227985364855e-01 6.571284519861155804e-01 2.030074057675423094e-01 1.091889122066998175e+00 -4.139639655604413493e-01 5.608764400442897147e-01 -9.748743626544312812e-01 1.704359287229245234e+00 -1.073473691371567229e+00 3.001970482615739719e-02 1.004975777980634533e+00 1.195022634551032192e+00 1.264368624743968106e-01 9.479455970144157195e-01 7.322883505073854993e-01 6.019700375052381425e-01 6.205279365586595652e-01 6.529646350641400421e-01 7.434870467061082122e-01 6.759864923658702729e-01 7.456753209659948700e-01 7.514492811562024643e-01 6.981081957097284851e-01 7.423245766836004123e-01 6.920391633433147227e-01 7.520863051159079049e-01 7.397666972909942018e-01 6.839871439676470377e-01 7.203813506497482866e-01 7.065051040970501406e-01 7.404240447317351759e-01 1.053498588838388095e+00
4.312690113440065254e+00 4.306514760826864463e-01 4.652318101441355047e-01 1.596822995645203469e-01 1.059212981620639038e+00 -5.880538109252522183e-01 5.964336833234201718e-01 -9.582511506216572217e-01 1.479197198557993920e+00 -8.078367510140889163e-01 2.191200056768959903e-01 9.214547121214260450e-01 8.674377757121114474e-01 2.775954133968622783e-01 8.734514621071305385e-01 6.990727074685489928e-01 5.677276179410847279e-01 5.626205137829467517e-01 6.182986076782147622e-01 6.870006119461126159e-01 6.206016885134451044e-01 6.884518271531923084e-01 7.098028699366059069e-01 6.369853965918624850e-01 6.910460474350772486e-01 6.528589794194988860e-01 7.095424303791508791e-01 6.991628779811652761e-01 6.608721033375100085e-01 6.603637589101329919e-01 6.575603357120010095e-01 6.914278246707015185e-01 9.849337114472299648e-01
4.308395958242504875e+00 4.081568701492590545e-01 6.819173798351090277e-01 1.771941524998908724e-01 8.663073101965674816e-01 -6.084674129170292156e-01 5.400378803642289505e-01 -1.066802812230554398e+00 1.615908707740969508e+00 -9.712948212937333459e-01 6.517704685541308995e-02 1.072477754076013534e+00 8.692564334068304532e-01 2.154317350262814901e-01 9.436031958702791878e-01 7.780509278992616684e-01 5.137314010967671818e-01 4.872043402528352662e-01 5.562053986540661521e-01 6.052490861501664821e-01 5.564473727622117893e-01 5.986536607178022384e-01 6.354033376840105829e-01 5.367849013362385735e-01 6.504966882309528575e-01 5.707654785607452208e-01 6.333207288002314916e-01 6.160735471265706975e-01 5.790437597709110484e-01 5.804563864434366671e-01 5.870387531765058897e-01 6.135940325249295002e-01 8.745730717034785329e-01
4.245724803959155302e+00 2.810617529433024342e-01 7.040477494596464325e-01 1.565050232076966585e-01 8.922606811023388040e-01 -4.826787223749718359e-01 8.142237049923635450e-02 -1.145420418938571050e+00 1.715088688187782706e+00 -1.004216255752232945e+00 1.594674270489014889e-01 1.188163844416104231e+00 8.783397029155176616e-01 3.107344793752854772e-01 9.311716568414794004e-01 9.627914419991165929e-01 4.783632025146370981e-01 4.728132645191285843e-01 5.365904242892006737e-01 5.740681099415637645e-01 5.262706050115983913e-01 5.868330826952486978e-01 6.448132936029101758e-01 5.148349072469540211e-01 6.328105933549641460e-01 5.484330750340514760e-01 6.211133632573672125e-01 5.908888321637486563e-01 5.523347943526413228e-01 5.663112121102061858e-01 5.668291416886298562e-01 5.998493205516700622e-01 8.466153108406914152e-01
4.293412143838563289e+00 2.899853832075444671e-01 5.058867854289219590e-01 1.670139789336183844e-01 8.901954792885532486e-01 -4.953641001717292713e-01 9.057224145605273502e-02 -1.084270737993290323e+00 2.049173800052354277e+00 -1.151368392770798721e+00 2.391919546244008488e-01 1.314611130074409662e+00 8.230226817980204057e-01 1.361615478403313262e-01 5.623335162218073835e-01 9.416773449150375175e-01 4.553117350729228852e-01 4.558918734181235943e-01 5.315346994194701802e-01 5.479604022602463376e-01 5.028075037299227779e-01 5.665572817721563625e-01 6.089862284126651426e-01 4.897752022113898152e-01 6.108026040894830588e-01 5.168788397549612945e-01 6.022245128856350549e-01 5.539038869638754914e-01 5.468072309821662147e-01 5.542911582886170807e-01 5.613339405483157574e-01 5.964584775595153099e-01 8.193802532290781482e-01
4.295989753876861883e+00 4.971526643477951479e-01 5.425047450580092745e-01 3.280381048654011922e-01 7.519516693264256535e-01 -7.086003644014862157e-01 1.890825926089605424e-01 -9.366987170936084128e-01 2.282263798822600442e+00 -1.016457836923745361e+00 3.217922227951516279e-01 1.528749129568276466e+00 8.439323676918907280e-01 9.118619998140405081e-02 7.260175906557045922e-01 1.080217155279259877e+00 4.597097075975326019e-01 4.640067719280847602e-01 5.500308040861990877e-01 5.503082968951176213e-01 5.132507216551864815e-01 5.895871942240000774e-01 6.422456196078776269e-01 5.037143178291599854e-01 6.408155596756409667e-01 5.224528703211119840e-01 6.222188229143587046e-01 5.613929801545550768e-01 5.505405244836116818e-01 5.816520449109932045e-01 5.698928408688157532e-01 6.134398839189031394e-01 8.410662680625276000e-01
